state_ID,year,c02-emission
WA,2010,73.044555
WA,2009,72.977136
WA,2008,75.157759
WA,2007,78.477601
WA,2006,72.977472
WA,2005,75.358729
WA,2004,74.35856
WA,2003,73.19041
WA,2002,71.137009
WA,2001,77.511255
WA,2000,77.635382
WA,1999,75.766713
WA,1998,75.606426
WA,1997,75.091733
WA,1996,75.774668
WA,1995,72.911745
WA,1994,74.720651
WA,1993,70.49951
WA,1992,73.426659
WA,1991,67.018678
WA,1990,66.063658
WA,1989,66.840561
WA,1988,64.840897
WA,1987,61.05777
WA,1986,56.933994
WA,1985,55.749081
WA,1984,53.668701
WA,1983,47.580772
WA,1982,50.5834
WA,1981,53.880872
WA,1980,55.355859
KS,2017,58.238418
KS,2016,61.892317
KS,2015,64.008552
KS,2014,69.679525
KS,2013,69.414179
KS,2012,65.683711
KS,2011,70.44771
KS,2010,72.277007
KS,2009,72.497474
KS,2008,74.318584
KS,2007,79.603421
KS,2006,71.898606
KS,2005,71.811053
KS,2004,75.526372
KS,2003,78.391391
KS,2002,76.343305
KS,2001,71.436804
KS,2000,75.615104
KS,1999,73.858268
KS,1998,70.292972
KS,1997,71.248827
KS,1996,74.274122
KS,1995,68.760934
KS,1994,71.275976
KS,1993,70.940704
KS,1992,65.482531
KS,1991,67.818455
KS,1990,69.192224
KS,1989,68.912124
KS,1988,70.490407
KS,1987,68.243762
KS,1986,64.544446
KS,1985,68.135287
KS,1984,70.785707
KS,1983,62.285418
KS,1982,62.67967
KS,1981,63.561782
KS,1980,66.762902
CO,2017,87.582932
CO,2016,87.183832
CO,2015,90.542532
CO,2014,91.833738
CO,2013,91.185686
CO,2012,90.609881
CO,2011,91.69452
CO,2010,95.398725
CO,2009,92.931686
CO,2008,97.064224
CO,2007,99.008923
CO,2006,96.326299
CO,2005,95.300912
CO,2004,93.070121
CO,2003,90.284969
CO,2002,90.908597
CO,2001,92.755531
CO,2000,84.61316
CO,1999,79.575703
CO,1998,77.713649
CO,1997,75.432101
CO,1996,75.324249
CO,1995,72.460236
CO,1994,72.389546
CO,1993,71.979044
CO,1992,68.270413
CO,1991,67.289247
CO,1990,66.020116
CO,1989,64.165167
CO,1988,62.840066
CO,1987,60.439947
CO,1986,59.80681
CO,1985,60.664781
CO,1984,60.088738
CO,1983,56.444086
CO,1982,58.251087
CO,1981,57.03625
CO,1980,58.065082
SC,2017,69.270082
SC,2016,71.523388
SC,2015,72.471315
SC,2014,74.131083
SC,2013,69.811095
SC,2012,72.838855
SC,2011,79.381724
SC,2010,83.26804
SC,2009,79.004188
SC,2008,84.514086
SC,2007,86.752922
SC,2006,86.205514
SC,2005,85.897173
SC,2004,87.228215
SC,2003,80.415791
SC,2002,79.786213
SC,2001,78.200592
SC,2000,80.532875
SC,1999,76.837807
SC,1998,73.73353
SC,1997,71.025956
SC,1996,68.611166
SC,1995,64.602246
SC,1994,65.572203
SC,1993,65.45967
SC,1992,60.671542
SC,1991,61.786881
SC,1990,60.433047
SC,1989,59.947373
SC,1988,60.441271
SC,1987,57.084343
SC,1986,53.583951
SC,1985,53.429855
SC,1984,52.569016
SC,1983,49.318416
SC,1982,51.633757
SC,1981,54.907414
SC,1980,54.713278
MN,2017,88.453942
MN,2016,88.994236
MN,2015,87.552339
MN,2014,94.567813
MN,2013,89.2711
MN,2012,86.3745
MN,2011,91.337159
MN,2010,91.637864
MN,2009,91.823148
MN,2008,99.599928
MN,2007,100.079096
MN,2006,98.441955
MN,2005,101.082446
MN,2004,99.987116
MN,2003,100.79621
MN,2002,96.697701
MN,2001,94.154792
MN,2000,97.070592
MN,1999,91.889872
MN,1998,91.089422
MN,1997,91.065049
MN,1996,93.472899
MN,1995,88.666901
MN,1994,85.892018
MN,1993,84.337598
MN,1992,79.87285
MN,1991,78.510728
MN,1990,78.465612
MN,1989,79.216293
MN,1988,76.177207
MN,1987,67.662419
MN,1986,63.437757
MN,1985,65.970709
MN,1984,67.134349
MN,1983,62.647137
MN,1982,64.597352
MN,1981,66.298814
MN,1980,70.787479
NE,2017,48.011829
NE,2016,48.52682
NE,2015,50.686289
NE,2014,52.189357
NE,2013,53.450245
NE,2012,50.496819
NE,2011,52.225483
NE,2010,49.791193
NE,2009,47.272739
NE,2008,46.609906
NE,2007,44.56887
NE,2006,44.224521
NE,2005,43.641953
NE,2004,43.231948
NE,2003,43.443873
NE,2002,42.33354
NE,2001,42.824573
NE,2000,41.508595
NE,1999,41.705388
NE,1998,42.87463
NE,1997,40.87011
NE,1996,39.565486
NE,1995,38.429247
NE,1994,35.873828
NE,1993,35.929473
NE,1992,32.639986
NE,1991,33.765201
NE,1990,32.906031
NE,1989,32.429194
NE,1988,33.915037
NE,1987,30.016483
NE,1986,28.779928
NE,1985,30.427601
NE,1984,31.457861
NE,1983,29.866485
NE,1982,28.766428
NE,1981,28.315105
NE,1980,30.091347
WV,2017,91.329383
WV,2016,94.915057
WV,2015,92.380483
WV,2014,100.288202
WV,2013,94.564922
WV,2012,92.31614
WV,2011,98.008519
WV,2010,100.698847
WV,2009,89.630784
WV,2008,110.594707
WV,2007,114.727548
WV,2006,112.410425
WV,2005,112.337456
WV,2004,110.106486
WV,2003,113.478478
WV,2002,116.769202
WV,2001,103.656869
WV,2000,114.287143
WV,1999,114.789519
WV,1998,113.955143
WV,1997,110.548626
WV,1996,106.977176
WV,1995,104.345474
WV,1994,105.880546
WV,1993,98.365553
WV,1992,97.283517
WV,1991,95.691016
WV,1990,103.351301
WV,1989,108.628363
WV,1988,106.045388
WV,1987,101.018829
WV,1986,100.763801
WV,1985,101.503889
WV,1984,104.604738
WV,1983,97.161602
WV,1982,95.446129
WV,1981,103.397133
WV,1980,102.235388
MT,2017,30.46831
MT,2016,30.463929
MT,2015,31.940187
MT,2014,31.980429
MT,2013,31.498827
MT,2012,30.128209
MT,2011,31.393408
MT,2010,34.287455
MT,2009,32.337189
MT,2008,35.808866
MT,2007,36.527941
MT,2006,35.044226
MT,2005,34.903708
MT,2004,33.802451
MT,2003,32.217618
MT,2002,29.947253
MT,2001,31.59057
MT,2000,30.405685
MT,1999,30.94455
MT,1998,30.45728
